# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
карта онлайн одесса	/?map=1	11	"1,36"	00:02:09	"81,82 %"	"72,73 %"
карта посёлка котовского	/tag/paskot/?map=1	11	"2,00"	00:01:15	"81,82 %"	"81,82 %"
киев-одесса расписание поездов	/travel_to_odessa/from-kiev/by_train/	11	"1,27"	00:00:05	"100,00 %"	"90,91 %"
клуб итака одесса	/entertainment/itaka/	11	"1,64"	00:01:06	"63,64 %"	"54,55 %"
клуб остров	/entertainment/ostrov/	11	"1,36"	00:00:03	"90,91 %"	"90,91 %"
луганск-одесса автобус	/travel_to_odessa/from-lugansk/by_bus/	11	"3,18"	00:01:28	"81,82 %"	"63,64 %"
одесса дерибасовская	/sight/deribasovskaya/	11	"1,91"	00:00:38	"90,91 %"	"63,64 %"
одесса достопримечательности	/category/sight/page/6/	11	"2,45"	00:03:58	"9,09 %"	"63,64 %"
одесса карта достопримечательностей	/category/sight/	11	"10,18"	00:06:49	"100,00 %"	"27,27 %"
одесса лузановка	/tag/luzanovka/	11	"2,18"	00:02:10	"45,45 %"	"54,55 %"
одесса памятник апельсину	/sight/pineapple/	11	"1,09"	00:00:01	"90,91 %"	"90,91 %"
парк шевченко в одессе	/tag/park-shevchenko/?map=1	11	"2,18"	00:00:24	"90,91 %"	"72,73 %"
пляж дельфин одесса карта	/tag/plyazh-delfin/?map=1	11	"1,18"	00:00:21	"90,91 %"	"90,91 %"
поезд киев одесса цена	/travel_to_odessa/from-kiev/by_train/	11	"1,82"	00:00:36	"90,91 %"	"81,82 %"
расписание автобусов одесса-николаев	/travel_to_odessa/by_bus/	11	"1,27"	00:01:13	"81,82 %"	"90,91 %"
расписание поездов на одессу из донецка	/travel_to_odessa/from-doneck/by_train/	11	"1,64"	00:00:56	"81,82 %"	"63,64 %"
расписание поездов одесса-киев	/travel_to_odessa/from-kiev/by_train/	11	"1,27"	00:00:07	"54,55 %"	"81,82 %"
рестораны одесса	/category/entertainment/restorans/	11	"7,18"	00:03:26	"81,82 %"	"18,18 %"
табу одесса	/entertainment/taboo/	11	"1,00"	00:00:00	"72,73 %"	"100,00 %"
таирово одесса карта	/tag/tairova/?map=1	11	"1,27"	00:00:23	"81,82 %"	"81,82 %"
тещин мост одесса адрес	/sight/teshhin-most/	11	"1,64"	00:02:23	"81,82 %"	"72,73 %"
что посмотреть в одессе за один день	/category/sight/	11	"6,82"	00:04:40	"100,00 %"	"54,55 %"
аэропорт одесса справочная	/travel_to_odessa/by_plan/	10	"1,10"	00:00:06	"70,00 %"	"90,00 %"
геи одессы	/tag/gej-klub/	10	"2,50"	00:01:15	"80,00 %"	"30,00 %"
горсад одесса	/entertainment/gorsad/	10	"1,40"	00:01:22	"60,00 %"	"70,00 %"
дача ковалевского одесса	/tag/dacha-kavalevskogo/	10	"1,50"	00:00:27	"60,00 %"	"60,00 %"
домино одесса	/entertainment/domino/	10	"1,10"	00:00:06	"20,00 %"	"90,00 %"
достопримичательности одессы	/category/sight/	10	"9,40"	00:07:03	"60,00 %"	"20,00 %"
живая музыка одесса	/tag/zhivaya-muzyka/	10	"3,30"	00:01:51	"90,00 %"	"50,00 %"
карта одессы спутник	/?map=1	10	"1,10"	00:00:42	"70,00 %"	"80,00 %"
картины улиц одессы	/category/sight/streets/?show=photos	10	"1,00"	00:00:00	"10,00 %"	"100,00 %"
киев одесса	/travel_to_odessa/from-kiev/	10	"2,10"	00:02:07	"80,00 %"	"40,00 %"
киев одесса	/travel_to_odessa/from-kiev/by_bus/	10	"1,70"	00:02:09	"90,00 %"	"70,00 %"
лузановка в одессе на карте	/category/entertainment/parks/	10	"1,00"	00:00:00	"0,00 %"	"100,00 %"
мини отель одесса	/tag/mini-oteli/	10	"2,50"	00:01:41	"80,00 %"	"10,00 %"
оазис одесса	/rent/h_oasis/	10	"1,20"	00:00:30	"50,00 %"	"70,00 %"
одесса достопримечательности	/category/sight/page/7/	10	"4,80"	00:01:58	"0,00 %"	"50,00 %"
одесса карта побережья	/tag/near-sea/?map=1	10	"1,80"	00:01:43	"100,00 %"	"70,00 %"
одесса киев поезд цена	/travel_to_odessa/from-kiev/by_train/	10	"1,60"	00:01:47	"90,00 %"	"80,00 %"
одесса таирова	/tag/tairova/?map=1	10	"2,10"	00:01:07	"80,00 %"	"50,00 %"
одесса-мариуполь автобус	/travel_to_odessa/by_bus/	10	"1,20"	00:00:34	"90,00 %"	"90,00 %"
памятник стулу в одессе	/sight/chair/	10	"1,20"	00:00:09	"70,00 %"	"80,00 %"
парк горького одесса карта	/entertainment/park-gorkogo/	10	"1,30"	00:00:05	"100,00 %"	"80,00 %"
парк резиденс одесса	/entertainment/park-residence/	10	"1,20"	00:00:16	"60,00 %"	"90,00 %"
поезд киев одесса	/travel_to_odessa/from-kiev/by_train/	10	"3,50"	00:01:09	"90,00 %"	"90,00 %"
поезд киев-одесса	/travel_to_odessa/from-kiev/by_train/	10	"1,50"	00:03:34	"70,00 %"	"70,00 %"
поезд харьков-одесса	/travel_to_odessa/from-kharkov/by_train/	10	"1,20"	00:01:18	"80,00 %"	"80,00 %"
польский культурный центр одесса	/tag/kulturnyj-centr/	10	"1,00"	00:00:00	"80,00 %"	"100,00 %"
поселок котовского одесса	/tag/paskot/	10	"3,00"	00:02:18	"60,00 %"	"30,00 %"
расписание автобусов из киева до одессы	/travel_to_odessa/from-kiev/by_train/	10	"1,20"	00:01:43	"0,00 %"	"90,00 %"
расписание поездов москва-одесса на сентябрь	/travel_to_odessa/from-moskow/by_train/	10	"1,50"	00:00:31	"90,00 %"	"80,00 %"
автобус в одессу	/travel_to_odessa/from-kiev/by_bus/	9	"1,67"	00:01:16	"66,67 %"	"66,67 %"
автобус киев - одесса	/travel_to_odessa/from-kiev/by_bus/	9	"1,78"	00:00:11	"66,67 %"	"77,78 %"
автобус одесса-киев	/travel_to_odessa/from-kiev/by_bus/	9	"1,00"	00:00:00	"77,78 %"	"100,00 %"
автобус одесса-симферополь расписание	/travel_to_odessa/by_bus/	9	"1,11"	00:00:00	"77,78 %"	"100,00 %"
болгарский центр одесса	/sight/bolgarskij-centr-kultury/	9	"1,67"	00:00:52	"88,89 %"	"55,56 %"
гимн одессы слова	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	9	"1,00"	00:00:00	"66,67 %"	"100,00 %"
гостиницы одессы дешевые	/tag/deshevye-gostinicy-odessy/	9	"2,00"	00:06:00	"66,67 %"	"55,56 %"
дешевые гостиницы одессы	/tag/deshevye-gostinicy-odessy/	9	"3,56"	00:01:07	"88,89 %"	"22,22 %"
достопремичательности одессы	/category/sight/	9	"7,89"	00:09:43	"55,56 %"	"22,22 %"
карта одессы вокзал	/tag/rajon-vokzala/?map=1	9	"2,56"	00:06:00	"100,00 %"	"55,56 %"
киев одесса самолет	/travel_to_odessa/from-kiev/by_plan/	9	"1,44"	00:01:15	"88,89 %"	"66,67 %"
клуб флорида в одессе	/entertainment/letnij-nochnoj-klub-florida/	9	"1,56"	00:00:22	"55,56 %"	"77,78 %"
колумбус одесса	/entertainment/columbus/	9	"1,22"	00:00:25	"66,67 %"	"88,89 %"
лузановка одесса карта	/tag/luzanovka/?map=1	9	"2,22"	00:03:49	"77,78 %"	"55,56 %"
недорогие отели одессы	/tag/nedorogie-gostinicy/	9	"3,11"	00:00:52	"88,89 %"	"22,22 %"
одесса достопримечательности	/entertainment/opera/	9	"2,22"	00:04:11	"11,11 %"	"55,56 %"
одесса ибица фото	/entertainment/ibiza/	9	"2,22"	00:00:14	"100,00 %"	"66,67 %"
одесса кривой рог автобус	/travel_to_odessa/by_bus/	9	"1,22"	00:00:15	"100,00 %"	"77,78 %"
одесса ланжерон	/tag/lanzheron/	9	"2,11"	00:02:34	"66,67 %"	"33,33 %"
одесса памятник екатерине	/sight/ekaterina2/	9	"1,44"	00:00:03	"77,78 %"	"55,56 %"
одесса пляж ланжерон	/tag/lanzheron/?map=1	9	"1,67"	00:03:09	"77,78 %"	"66,67 %"
одесская колоннада	/sight/kolonnada/	9	"1,67"	00:02:48	"100,00 %"	"66,67 %"
памятники одессы описание	/category/sight/monument/	9	"2,33"	00:01:57	"100,00 %"	"22,22 %"
парк горького	/entertainment/park-gorkogo/	9	"1,00"	00:00:00	"77,78 %"	"100,00 %"
парк победы одесса	/entertainment/park-pobedy/	9	"1,78"	00:00:59	"66,67 %"	"77,78 %"
поезд одесса донецк расписание	/travel_to_odessa/from-doneck/by_train/	9	"1,22"	00:00:12	"66,67 %"	"88,89 %"
пос котовского одесса карта	/tag/paskot/?map=1	9	"1,22"	00:00:02	"100,00 %"	"77,78 %"
путеводитель одесса	/	9	"8,89"	00:05:22	"33,33 %"	"33,33 %"
расписание автобусов в одессе	/travel_to_odessa/by_bus/	9	"1,00"	00:03:37	"77,78 %"	"77,78 %"
расписание автобусов из киева в одессу	/travel_to_odessa/from-kiev/by_bus/	9	"1,56"	00:00:13	"100,00 %"	"66,67 %"
расписание автобусов из одессы	/travel_to_odessa/by_bus/	9	"1,67"	00:01:21	"88,89 %"	"66,67 %"
расписание автобусов одесса симферополь	/travel_to_odessa/by_bus/	9	"1,22"	00:00:43	"77,78 %"	"77,78 %"
расписание автобусов одесса-мариуполь	/travel_to_odessa/by_bus/	9	"1,22"	00:00:07	"77,78 %"	"88,89 %"
расписание автобусов харьков одесса	/travel_to_odessa/from-kharkov/by_bus/	9	"2,11"	00:01:48	"88,89 %"	"77,78 %"
расписание поездов донецк одесса	/category/entertainment/parks/	9	"1,00"	00:00:00	"0,00 %"	"100,00 %"
родина одесса кинотеатр	/entertainment/rodina/	9	"1,11"	00:01:26	"88,89 %"	"88,89 %"
харьков одесса расписание поездов	/travel_to_odessa/from-kharkov/by_train/	9	"1,00"	00:00:00	"100,00 %"	"100,00 %"
шаланды полные кефали ча-ча-ча	/ob-odesse/shalandy-polnye-kefali/	9	"1,00"	00:00:00	"0,00 %"	"100,00 %"
visit odessa	/	8	"9,75"	00:07:01	"25,00 %"	"12,50 %"
авиарейсы из одессы	/travel_to_odessa/by_plan/	8	"1,12"	00:00:33	"87,50 %"	"87,50 %"
автобус минск-одесса	/travel_to_odessa/from-minska/by_bus/	8	"1,25"	00:00:42	"87,50 %"	"87,50 %"
автобус одесса харьков	/travel_to_odessa/from-kharkov/by_bus/	8	"1,38"	00:00:56	"100,00 %"	"62,50 %"
автобус одесса-мариуполь	/travel_to_odessa/by_bus/	8	"1,00"	00:00:00	"62,50 %"	"100,00 %"
автобус харьков одесса расписание	/travel_to_odessa/from-kharkov/by_bus/	8	"1,00"	00:00:00	"87,50 %"	"100,00 %"
геи одесса	/tag/gej-klub/	8	"1,50"	00:00:35	"75,00 %"	"62,50 %"
гей клубы в одессе	/tag/gej-klub/	8	"2,88"	00:00:57	"75,00 %"	"37,50 %"
достопримечательности одессы	/sight/duk/	8	"16,00"	00:06:39	"0,00 %"	"50,00 %"
живая музыка в одессе	/tag/zhivaya-muzyka/	8	"10,62"	00:15:22	"62,50 %"	"12,50 %"
как добраться из донецка в одессу	/travel_to_odessa/from-doneck/	8	"2,88"	00:00:45	"100,00 %"	"12,50 %"
карта одессы район таирова	/tag/tairova/?map=1	8	"1,25"	00:00:28	"87,50 %"	"87,50 %"
карта одессы с улицами и номерами домов	/?map=1	8	"2,12"	00:01:30	"75,00 %"	"37,50 %"
карта одессы черемушки	/tag/cheremushki/?map=1	8	"4,50"	00:01:02	"62,50 %"	"62,50 %"
кафе победа одесса	/entertainment/pobeda/	8	"1,00"	00:00:00	"0,00 %"	"100,00 %"
киев-одесса маршрутки	/travel_to_odessa/from-kiev/by_bus/	8	"3,25"	00:04:05	"87,50 %"	"25,00 %"
кинотеатры одессы на карте	/tag/teatry-i-kinoteatry/?map=1	8	"1,88"	00:03:23	"75,00 %"	"62,50 %"
клуб ибица	/entertainment/ibiza/	8	"1,62"	00:00:18	"100,00 %"	"75,00 %"
лучшие рестораны одессы	/category/entertainment/restorans/	8	"14,62"	00:09:19	"87,50 %"	"12,50 %"
мини отели одессы	/tag/mini-oteli/	8	"7,12"	00:05:02	"100,00 %"	"0,00 %"
морской вокзал одесса	/sight/morvokzal/	8	"1,88"	00:02:27	"50,00 %"	"50,00 %"
немецкий культурный центр одесса	/tag/kulturnyj-centr/	8	"1,25"	00:00:06	"37,50 %"	"87,50 %"
одесса достопримечательности	/	8	"2,25"	00:00:15	"12,50 %"	"87,50 %"
одесса достопримечательности	/sight/potemkinskaya-lestnica/	8	"17,38"	00:24:31	"50,00 %"	"25,00 %"
одесса достопримечательности на карте	/category/sight/	8	"10,25"	00:10:43	"87,50 %"	"37,50 %"
одесса поселок котовского	/tag/paskot/	8	"2,00"	00:03:31	"100,00 %"	"25,00 %"
одесса херсон автобус	/travel_to_odessa/by_bus/	8	"1,75"	00:00:47	"87,50 %"	"75,00 %"
одессаа достопримечательности	/category/sight/	8	"5,62"	00:01:06	"12,50 %"	"87,50 %"
парк шевченко в одессе	/entertainment/park-shevchenko/	8	"2,50"	00:01:22	"62,50 %"	"50,00 %"
поселок котовского одесса фото	/tag/paskot/?show=photos	8	"1,00"	00:00:00	"75,00 %"	"100,00 %"
потёмкинская лестница	/sight/potemkinskaya-lestnica/	8	"3,88"	00:03:01	"87,50 %"	"50,00 %"
рай одесса	/entertainment/raj/	8	"1,62"	00:00:24	"87,50 %"	"75,00 %"
расписание автобусов	/travel_to_odessa/from-kiev/by_bus/	8	"1,00"	00:00:00	"62,50 %"	"100,00 %"
расписание автобусов одесса-кишинев	/travel_to_odessa/by_bus/	8	"1,00"	00:00:00	"50,00 %"	"100,00 %"
расписание самолетов киев одесса	/travel_to_odessa/from-kiev/by_plan/	8	"1,38"	00:01:08	"75,00 %"	"75,00 %"
расписание самолетов киев-одесса	/travel_to_odessa/from-kiev/by_plan/	8	"3,38"	00:04:44	"75,00 %"	"25,00 %"
рестораны одессы	/category/entertainment/restorans/	8	"5,88"	00:10:53	"87,50 %"	"25,00 %"
сальса в одессе	/tag/salsa/	8	"1,88"	00:01:08	"87,50 %"	"75,00 %"
самые дешевые гостиницы одессы	/tag/deshevye-gostinicy-odessy/	8	"4,25"	00:05:00	"75,00 %"	"37,50 %"
санаторий россия в одессе	/rent/rossiya/	8	"1,00"	00:00:46	"87,50 %"	"87,50 %"
черемушки одесса карта	/tag/cheremushki/?map=1	8	"3,00"	00:04:25	"62,50 %"	"50,00 %"
ljcnjghbvtxfntkmyjcnb jltccs	/category/sight/	7	"9,43"	00:10:23	"85,71 %"	"0,00 %"
park residence одесса	/entertainment/park-residence/	7	"1,29"	00:00:52	"71,43 %"	"57,14 %"
автобус на одессу	/travel_to_odessa/from-kiev/by_bus/	7	"3,29"	00:05:13	"85,71 %"	"42,86 %"
автобусы кишинев одесса	/travel_to_odessa/by_bus/	7	"1,00"	00:00:00	"14,29 %"	"100,00 %"
автобусы на одессу	/travel_to_odessa/from-kiev/by_bus/	7	"1,43"	00:00:17	"100,00 %"	"71,43 %"
ах одесса жемчужина у моря	/ob-odesse/3120/	7	"1,14"	00:00:48	"85,71 %"	"85,71 %"
болгарский культурный центр одесса	/tag/kulturnyj-centr/	7	"3,00"	00:01:26	"85,71 %"	"0,00 %"
в гостях у сказки одесса	/entertainment/strip-klub/	7	"1,00"	00:00:00	"71,43 %"	"100,00 %"
гостиница на дерибасовской	/tag/gostinicy-na-deribasovskoj/	7	"1,57"	00:00:12	"85,71 %"	"57,14 %"
гостиницы одессы недорого	/tag/nedorogie-gostinicy/page/2/	7	"1,00"	00:00:00	"0,00 %"	"100,00 %"
дискотеки в одессе	/tag/80-x/	7	"3,29"	00:02:39	"71,43 %"	"28,57 %"
дом-стена одесса	/sight/witch_house/	7	"1,29"	00:00:01	"100,00 %"	"71,43 %"
донецк одесса	/travel_to_odessa/from-doneck/by_bus/	7	"1,43"	00:00:16	"100,00 %"	"71,43 %"
достопримечательности одесса карта	/category/sight/	7	"15,00"	00:08:46	"57,14 %"	"14,29 %"
достопримечательности одессі	/category/sight/	7	"13,43"	00:07:19	"85,71 %"	"14,29 %"
достопримечательности одессы	/sight/deribasovskaya/	7	"4,00"	00:06:43	"14,29 %"	"28,57 %"
достопримечательности одессы адреса	/category/sight/?show=phones	7	"17,86"	00:14:38	"57,14 %"	"14,29 %"
из одессы в мариуполь на автобусе	/travel_to_odessa/by_bus/	7	"1,00"	00:00:00	"14,29 %"	"100,00 %"
как доехать до одессы	/travel_to_odessa/	7	"4,00"	00:05:55	"85,71 %"	"14,29 %"
карта одессы таирова	/tag/tairova/?map=1	7	"1,57"	00:00:46	"85,71 %"	"57,14 %"
карта района таирова	/tag/tairova/?map=1	7	"1,71"	00:01:29	"14,29 %"	"85,71 %"
киев-одесса поезд цена	/travel_to_odessa/from-kiev/by_train/	7	"1,57"	00:01:24	"85,71 %"	"57,14 %"
клуб western	/entertainment/western/	7	"1,00"	00:00:00	"100,00 %"	"100,00 %"
клубы одессы	/category/entertainment/disco/	7	"7,57"	00:04:14	"100,00 %"	"14,29 %"
колоннада	/sight/kolonnada/	7	"2,71"	00:02:01	"85,71 %"	"71,43 %"
луганск одесса автобус	/travel_to_odessa/from-lugansk/by_bus/	7	"1,86"	00:02:52	"71,43 %"	"57,14 %"
лузановка одесса	/tag/luzanovka/	7	"1,71"	00:00:34	"85,71 %"	"71,43 %"
лузановка фото	/tag/luzanovka/?show=photos	7	"1,57"	00:00:19	"85,71 %"	"71,43 %"
морвокзал одесса	/sight/morvokzal/	7	"1,57"	00:01:34	"57,14 %"	"42,86 %"
ночной клуб флорида одесса	/entertainment/letnij-nochnoj-klub-florida/	7	"1,00"	00:00:00	"85,71 %"	"100,00 %"
одесса аэропорт расписание	/travel_to_odessa/by_plan/	7	"1,14"	00:00:12	"71,43 %"	"85,71 %"
одесса гей	/tag/gej-klub/	7	"6,43"	00:04:34	"42,86 %"	"14,29 %"
одесса гостиницы недорого	/tag/nedorogie-gostinicy/	7	"3,14"	00:02:03	"100,00 %"	"28,57 %"
одесса дача ковалевского	/tag/dacha-kavalevskogo/	7	"3,00"	00:06:03	"85,71 %"	"42,86 %"
одесса достопримечательности	/category/sight/page/5/	7	"6,43"	00:04:31	"28,57 %"	"14,29 %"
одесса колоннада	/sight/kolonnada/	7	"1,14"	00:00:52	"57,14 %"	"85,71 %"
одесса мой город родной песня	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	7	"1,00"	00:00:00	"100,00 %"	"100,00 %"
одесса памятник стулу	/sight/chair/	7	"4,00"	00:04:21	"71,43 %"	"71,43 %"
одесса памятники	/category/sight/monument/	7	"6,14"	00:06:01	"42,86 %"	"14,29 %"
одесса расписание автобусов	/travel_to_odessa/by_bus/	7	"1,29"	00:00:48	"85,71 %"	"71,43 %"
одесса санаторий россия	/rent/rossiya/	7	"1,00"	00:00:00	"85,71 %"	"100,00 %"
одесса стул	/sight/chair/	7	"5,00"	00:03:37	"57,14 %"	"42,86 %"
одесса французский бульвар	/tag/francuzskij-bulvar/?map=1	7	"3,86"	00:03:25	"85,71 %"	"85,71 %"
одесса-мой город родной	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	7	"3,29"	00:01:20	"85,71 %"	"85,71 %"
остров одесса клуб	/entertainment/ostrov/	7	"1,14"	00:00:04	"71,43 %"	"85,71 %"
отели на дерибасовской	/tag/gostinicy-na-deribasovskoj/	7	"2,57"	00:03:12	"71,43 %"	"0,00 %"
памятник апельсину	/sight/pineapple/	7	"1,71"	00:01:06	"85,71 %"	"85,71 %"
памятник дюку в одессе	/sight/duk/	7	"1,14"	00:00:58	"85,71 %"	"85,71 %"
памятник екатерине одесса	/sight/ekaterina2/	7	"1,00"	00:00:00	"85,71 %"	"100,00 %"
памятник екатерины в одессе	/sight/ekaterina2/	7	"1,57"	00:00:40	"57,14 %"	"57,14 %"
пляж ланжерон	/tag/lanzheron/?map=1	7	"2,14"	00:00:52	"71,43 %"	"71,43 %"
пляжи одессы на карте	/category/entertainment/beach/	7	"3,14"	00:00:33	"57,14 %"	"28,57 %"
поезд донецк - одесса	/travel_to_odessa/from-doneck/by_train/	7	"1,14"	00:03:11	"85,71 %"	"71,43 %"
поезд киев-одесса расписание	/travel_to_odessa/from-kiev/by_train/	7	"1,14"	00:00:23	"85,71 %"	"85,71 %"
поезд одесса-санкт-петербург цена	/travel_to_odessa/from-spb/by_train/	7	"1,14"	00:00:04	"100,00 %"	"85,71 %"
расписание автобусов донецк одесса	/travel_to_odessa/from-doneck/by_bus/	7	"1,43"	00:04:16	"100,00 %"	"85,71 %"
расписание автобусов луганск-одесса	/travel_to_odessa/from-lugansk/by_bus/	7	"1,29"	00:03:11	"42,86 %"	"71,43 %"
расписание автобусов одесса киев	/travel_to_odessa/from-kiev/by_bus/	7	"1,00"	00:00:00	"85,71 %"	"100,00 %"
расписание автобусов одесса мариуполь	/travel_to_odessa/by_bus/	7	"1,14"	00:02:42	"71,43 %"	"71,43 %"
расписание пригородных автобусов одесса	/travel_to_odessa/by_bus/	7	"1,00"	00:00:00	"42,86 %"	"100,00 %"
ресторан оазис сортировочная	/entertainment/r_oasis/	7	"1,00"	00:00:00	"14,29 %"	"100,00 %"
спб одесса поезд	/travel_to_odessa/from-spb/by_train/	7	"1,14"	00:00:48	"85,71 %"	"85,71 %"
тема одесса	/entertainment/tema/	7	"2,29"	00:03:30	"71,43 %"	"71,43 %"
французский бульвар одесса	/tag/francuzskij-bulvar/?map=1	7	"3,00"	00:05:30	"100,00 %"	"57,14 %"
харьков-одесса автобус	/travel_to_odessa/from-kharkov/by_bus/	7	"2,00"	00:00:53	"71,43 %"	"57,14 %"
ямайка одесса	/entertainment/jamajka/	7	"1,00"	00:00:00	"100,00 %"	"100,00 %"
itaka одесса	/entertainment/itaka/	6	"1,83"	00:02:06	"83,33 %"	"50,00 %"
rfhnf jltccs jykfqy	/?map=1	6	"1,50"	00:00:39	"100,00 %"	"66,67 %"
автобус донецк-одесса расписание	/travel_to_odessa/from-doneck/by_bus/	6	"1,00"	00:00:00	"100,00 %"	"100,00 %"
автобус киев одеса	/travel_to_odessa/from-kiev/by_bus/	6	"1,33"	00:04:27	"50,00 %"	"66,67 %"
автобус одесса	/travel_to_odessa/by_bus/	6	"1,00"	00:00:00	"66,67 %"	"100,00 %"
автобус одесса донецк	/travel_to_odessa/from-doneck/by_bus/	6	"1,50"	00:00:26	"66,67 %"	"83,33 %"
автобус одесса мариуполь	/travel_to_odessa/by_bus/	6	"1,17"	00:00:09	"83,33 %"	"83,33 %"
автобус одесса-херсон	/travel_to_odessa/by_bus/	6	"1,33"	00:00:27	"100,00 %"	"83,33 %"
автолюкс киев одесса расписание	/travel_to_odessa/from-kiev/by_bus/	6	"1,17"	00:01:08	"100,00 %"	"83,33 %"
аркадія одеса	/tag/arkadiya/	6	"4,33"	00:01:58	"83,33 %"	"33,33 %"
геи в одессе	/tag/gej-klub/	6	"3,33"	00:01:50	"100,00 %"	"16,67 %"
греческая площадь	/sight/grecheskaya/	6	"1,33"	00:00:45	"16,67 %"	"83,33 %"
греческая площадь одесса	/sight/grecheskaya/	6	"2,00"	00:00:19	"83,33 %"	"50,00 %"
греческий культурный центр одесса	/sight/grecheskij-kulturnyj-centr/	6	"3,00"	00:02:24	"100,00 %"	"66,67 %"
дерибасовская онлайн	/tag/deribasovskaya/?map=1	6	"1,00"	00:00:00	"100,00 %"	"100,00 %"
джаз кафе одесса	/tag/dzhaz/	6	"5,00"	00:02:50	"83,33 %"	"16,67 %"
дискотека 80 одесса	/tag/80-x/	6	"4,17"	00:02:59	"66,67 %"	"0,00 %"
достопримечательности города одесса	/category/sight/	6	"36,83"	00:32:53	"83,33 %"	"0,00 %"
достопримечательности одессы	/category/entertainment/beach/	6	"7,17"	00:15:14	"0,00 %"	"0,00 %"
достопримечательности одессы	/category/sight/monument/?show=photos	6	"2,17"	00:02:49	"66,67 %"	"0,00 %"
достопримечательности одессы	/sight/kolonnada/	6	"3,00"	00:07:34	"66,67 %"	"33,33 %"
достопримечательность одессы	/category/sight/	6	"3,83"	00:02:25	"100,00 %"	"33,33 %"
жд вокзал одесса на карте	/tag/rajon-vokzala/?map=1	6	"1,17"	00:00:04	"83,33 %"	"83,33 %"
как добраться до улицы в одессе	/travel_to_odessa/	6	"4,00"	00:08:35	"66,67 %"	"50,00 %"
как позвонить в г. одессу из россии?	/odessa/kak-pozvonit/	6	"1,00"	00:00:00	"16,67 %"	"100,00 %"
карта одессы с пляжами	/category/entertainment/beach/	6	"2,17"	00:00:27	"83,33 %"	"33,33 %"
карта одессы с улицами	/category/sight/streets/	6	"1,83"	00:01:56	"66,67 %"	"50,00 %"
карта одессы с улицами со спутника	/?map=1	6	"1,67"	00:00:17	"66,67 %"	"66,67 %"
карта поселка котовского в одессе	/tag/paskot/?map=1	6	"1,67"	00:00:16	"83,33 %"	"83,33 %"
киев одесса	/travel_to_odessa/from-kiev/by_train/	6	"1,50"	00:01:00	"100,00 %"	"66,67 %"
киев-одесса	/travel_to_odessa/from-kiev/	6	"2,00"	00:00:57	"100,00 %"	"50,00 %"
киев-одесса	/travel_to_odessa/from-kiev/by_train/	6	"1,67"	00:01:36	"83,33 %"	"83,33 %"
київ одеса автобус	/travel_to_odessa/from-kiev/by_bus/	6	"1,17"	00:00:08	"83,33 %"	"83,33 %"
клуб western одесса	/entertainment/western/	6	"1,00"	00:00:00	"50,00 %"	"100,00 %"
красивые здания	/category/sight/buildings/	6	"2,17"	00:00:36	"100,00 %"	"33,33 %"
москва кинотеатр одесса расписание	/entertainment/kinoteatr-moskva/	6	"1,00"	00:00:00	"100,00 %"	"100,00 %"
музей восковых фигур в одессе	/sight/voskovyx-figur/	6	"1,00"	00:00:00	"83,33 %"	"100,00 %"
недорогие гостиницы одесса	/tag/nedorogie-gostinicy/	6	"6,17"	00:03:11	"83,33 %"	"33,33 %"
недорогие отели в одессе	/tag/nedorogie-gostinicy/	6	"3,33"	00:01:57	"66,67 %"	"0,00 %"
одесса	/sight/potemkinskaya-lestnica/	6	"1,67"	00:02:12	"83,33 %"	"33,33 %"
одесса - мой город родной	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	6	"2,00"	00:00:20	"100,00 %"	"83,33 %"
одесса большой фонтан	/tag/bolshoj-fontan/	6	"8,33"	00:03:00	"50,00 %"	"50,00 %"
одесса где отдохнуть	/category/entertainment/	6	"5,33"	00:10:26	"83,33 %"	"50,00 %"
одесса дом павловых	/rent/dom-pavlovyx/	6	"1,50"	00:00:22	"100,00 %"	"83,33 %"
одесса достопримечательности	/category/sight/page/8/	6	"4,33"	00:02:35	"16,67 %"	"33,33 %"
одесса кишинёв	/travel_to_odessa/by_bus/	6	"1,00"	00:00:00	"16,67 %"	"100,00 %"
одесса морвокзал	/sight/morvokzal/	6	"1,83"	00:00:16	"100,00 %"	"50,00 %"
одесса онлайн	/?map=1	6	"3,83"	00:01:26	"83,33 %"	"50,00 %"
одесса пляж ланжерон карта	/tag/lanzheron/?map=1	6	"1,33"	00:00:28	"50,00 %"	"83,33 %"
одесса свеча	/entertainment/svecha/	6	"1,00"	00:00:00	"83,33 %"	"100,00 %"
одесса симферополь расписание автобусов	/travel_to_odessa/by_bus/	6	"1,00"	00:00:00	"100,00 %"	"100,00 %"
одесса тещин мост	/sight/teshhin-most/	6	"1,50"	00:02:23	"83,33 %"	"66,67 %"
одесса черновцы автобус	/travel_to_odessa/by_bus/	6	"1,00"	00:00:00	"100,00 %"	"100,00 %"
одесса ялта автобус	/travel_to_odessa/by_bus/	6	"1,00"	00:00:26	"66,67 %"	"83,33 %"
