# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
расписание поездов донецк одесса	/travel_to_odessa/from-doneck/by_train/	30	"2,13"	00:00:35	"80,00 %"	"76,67 %"
гостиницы одессы	/tag/nedorogie-gostinicy/	29	"3,72"	00:02:58	"96,55 %"	"10,34 %"
дерибасовская	/sight/deribasovskaya/	28	"1,75"	00:00:45	"82,14 %"	"50,00 %"
одесса достопримечательности	/category/sight/page/2/	28	"14,07"	00:12:41	"7,14 %"	"32,14 %"
расписание и цены поезда киев-одесса	/travel_to_odessa/from-kiev/by_train/	28	"1,21"	00:00:07	"3,57 %"	"96,43 %"
что можно посмотреть в одессе	/category/sight/	28	"12,04"	00:11:43	"67,86 %"	"25,00 %"
гей одесса	/tag/gej-klub/	27	"3,11"	00:01:29	"85,19 %"	"18,52 %"
достопримечательности в одессе	/category/sight/	27	"6,33"	00:04:58	"100,00 %"	"14,81 %"
как звонить в одессу из москвы	/odessa/kak-pozvonit/	27	"1,11"	00:00:07	"48,15 %"	"92,59 %"
клуб флорида одесса	/entertainment/letnij-nochnoj-klub-florida/	27	"1,15"	00:01:01	"62,96 %"	"88,89 %"
одесса дом стена	/sight/witch_house/	27	"1,85"	00:00:51	"81,48 %"	"70,37 %"
одесса путеводитель	/	27	"6,59"	00:05:34	"81,48 %"	"25,93 %"
одесса что посмотреть	/category/sight/	27	"11,74"	00:07:23	"85,19 %"	"33,33 %"
таирово одесса	/tag/tairova/?map=1	27	"1,15"	00:00:41	"96,30 %"	"85,19 %"
автобусы киева одессу	/travel_to_odessa/from-kiev/by_bus/	26	"1,31"	00:00:18	"3,85 %"	"96,15 %"
карта достопримечательностей одессы	/category/sight/	26	"8,50"	00:07:58	"84,62 %"	"30,77 %"
одесса мариуполь автобус	/travel_to_odessa/by_bus/	26	"1,00"	00:00:00	"57,69 %"	"100,00 %"
памятник де рибасу	/sight/pamyatnik-de-ribasu/	26	"1,00"	00:00:00	"11,54 %"	"100,00 %"
санаторий россия одесса	/rent/rossiya/	26	"2,62"	00:01:57	"88,46 %"	"80,77 %"
достопримечательности одессы на карте	/category/sight/	25	"12,80"	00:10:36	"76,00 %"	"16,00 %"
киев одесса расписание поездов	/travel_to_odessa/from-kiev/by_train/	25	"1,08"	00:00:04	"84,00 %"	"92,00 %"
киев-одесса	/travel_to_odessa/from-kiev/by_bus/	25	"4,20"	00:03:03	"76,00 %"	"68,00 %"
онлайн карта одессы	/?map=1	25	"1,72"	00:01:03	"80,00 %"	"64,00 %"
ты в сердце моем одесса мой город родной	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	25	"1,00"	00:00:00	"4,00 %"	"100,00 %"
харьков одесса автобус	/travel_to_odessa/from-kharkov/by_bus/	25	"1,60"	00:02:14	"84,00 %"	"64,00 %"
дом стена	/sight/witch_house/	24	"2,29"	00:00:49	"83,33 %"	"45,83 %"
достопримечательности одессы	/category/sight/page/9/	24	"3,96"	00:03:52	"0,00 %"	"66,67 %"
ибица в одессе	/entertainment/ibiza/	24	"1,58"	00:00:35	"87,50 %"	"75,00 %"
